time_period,location,rainfall,mean_temperature,humidity
2025-W27,Hamahamet-Mboinkou,4.2,26.81,81.4
2025-W28,Hamahamet-Mboinkou,0.0,26.63,78.4
2025-W29,Hamahamet-Mboinkou,0.0,27.04,74.0
2025-W30,Hamahamet-Mboinkou,22.0,26.59,74.6
2025-W31,Hamahamet-Mboinkou,0.0,26.08,62.5
2025-W32,Hamahamet-Mboinkou,0.0,25.22,66.0
2025-W33,Hamahamet-Mboinkou,0.2,25.88,66.8
2025-W34,Hamahamet-Mboinkou,0.0,25.68,61.1
2025-W35,Hamahamet-Mboinkou,0.6,25.78,77.3
2025-W36,Hamahamet-Mboinkou,1.5,26.52,78.2
2025-W37,Hamahamet-Mboinkou,6.4,26.96,82.6
2025-W38,Hamahamet-Mboinkou,2.1,27.3,80.0
2025-W39,Hamahamet-Mboinkou,3.3,27.07,79.6
2025-W40,Hamahamet-Mboinkou,17.6,27.2,84.2
2025-W41,Hamahamet-Mboinkou,15.1,27.47,83.7
2025-W42,Hamahamet-Mboinkou,0.0,27.05,79.6
2025-W43,Hamahamet-Mboinkou,12.2,28.44,82.6
2025-W44,Hamahamet-Mboinkou,25.7,28.32,85.9
2025-W45,Hamahamet-Mboinkou,59.0,28.27,84.9
2025-W46,Hamahamet-Mboinkou,8.2,28.33,84.8
2025-W47,Hamahamet-Mboinkou,3.5,29.03,81.4
2025-W48,Hamahamet-Mboinkou,22.1,29.44,81.6
2025-W49,Hamahamet-Mboinkou,14.6,29.75,80.8
2025-W50,Hamahamet-Mboinkou,83.8,29.71,87.8
2025-W51,Hamahamet-Mboinkou,100.8,28.95,87.0
2025-W52,Hamahamet-Mboinkou,14.9,29.26,85.3
2025-W27,Hambou,74.8,25.09,75.6
2025-W28,Hambou,182.7,24.4,76.6
2025-W29,Hambou,11.0,24.92,68.2
2025-W30,Hambou,38.0,24.46,72.4
2025-W31,Hambou,29.0,25.18,66.6
2025-W32,Hambou,1.9,23.44,73.3
2025-W33,Hambou,1.9,24.61,71.2
2025-W34,Hambou,4.0,24.54,70.4
2025-W35,Hambou,0.1,24.44,69.2
2025-W36,Hambou,0.0,24.53,70.0
2025-W37,Hambou,1.8,25.46,74.2
2025-W38,Hambou,16.1,26.41,71.0
2025-W39,Hambou,10.1,26.26,69.8
2025-W40,Hambou,7.2,27.02,73.4
2025-W41,Hambou,6.4,26.84,69.9
2025-W42,Hambou,0.2,26.79,68.7
2025-W43,Hambou,5.3,27.79,69.7
2025-W44,Hambou,34.3,28.18,77.7
2025-W45,Hambou,40.7,27.42,77.9
2025-W46,Hambou,3.5,26.81,74.4
2025-W47,Hambou,79.4,27.34,76.9
2025-W48,Hambou,55.5,27.31,75.9
2025-W49,Hambou,17.8,27.41,75.5
2025-W50,Hambou,29.9,27.57,77.7
2025-W51,Hambou,0.0,28.11,66.9
2025-W52,Hambou,107.3,28.78,78.2
2025-W27,Itsandra-Hamanvou,1.4,26.69,67.8
2025-W28,Itsandra-Hamanvou,21.2,25.81,71.8
2025-W29,Itsandra-Hamanvou,0.0,25.14,59.6
2025-W30,Itsandra-Hamanvou,11.6,25.46,68.2
2025-W31,Itsandra-Hamanvou,0.0,24.5,62.1
2025-W32,Itsandra-Hamanvou,8.0,26.54,69.1
2025-W33,Itsandra-Hamanvou,0.0,24.93,67.3
2025-W34,Itsandra-Hamanvou,0.0,25.78,64.9
2025-W35,Itsandra-Hamanvou,0.0,25.38,64.4
2025-W36,Itsandra-Hamanvou,12.3,25.87,72.7
2025-W37,Itsandra-Hamanvou,0.8,25.4,73.0
2025-W38,Itsandra-Hamanvou,3.2,26.7,73.7
2025-W39,Itsandra-Hamanvou,10.6,25.54,66.9
2025-W40,Itsandra-Hamanvou,1.4,25.78,69.4
2025-W41,Itsandra-Hamanvou,1.4,27.37,69.8
2025-W42,Itsandra-Hamanvou,0.0,26.73,72.1
2025-W43,Itsandra-Hamanvou,8.2,26.61,65.3
2025-W44,Itsandra-Hamanvou,10.8,28.06,69.4
2025-W45,Itsandra-Hamanvou,10.8,27.97,71.1
2025-W46,Itsandra-Hamanvou,8.0,28.36,71.1
2025-W47,Itsandra-Hamanvou,42.2,28.41,72.1
